"","Sample.Label","step_id","distance","distance_abs","Effort","in_vid","in_angle","Region.Label","Area","N_pop"
"81",2,3,3.04847327292547,3.15105632249132,40,TRUE,TRUE,"Sims",10000,1952
"82",2,4,4.20522812155408,4.25743149961499,40,TRUE,TRUE,"Sims",10000,1952
"83",2,4,4.04287141371284,4.13252658989133,40,TRUE,TRUE,"Sims",10000,1952
"84",2,6,3.09451856336314,3.12938974996016,40,TRUE,TRUE,"Sims",10000,1952
"85",2,6,3.72248028304085,3.76607960087828,40,TRUE,TRUE,"Sims",10000,1952
"86",2,6,1.90726771596519,2.06525455224298,40,TRUE,TRUE,"Sims",10000,1952
"87",2,6,4.44523783025886,4.44600231708158,40,TRUE,TRUE,"Sims",10000,1952
"88",2,7,4.45430260532633,4.47989476665097,40,TRUE,TRUE,"Sims",10000,1952
"89",2,7,4.60364374326929,4.6464582656413,40,TRUE,TRUE,"Sims",10000,1952
"90",2,7,3.71860673859584,3.78422535849785,40,TRUE,TRUE,"Sims",10000,1952
"91",2,7,1.7610612041429,1.96204916018419,40,TRUE,TRUE,"Sims",10000,1952
"92",2,8,2.56240032737242,2.6305217493693,40,TRUE,TRUE,"Sims",10000,1952
"93",2,9,0.835255688350522,0.876848191018825,40,TRUE,TRUE,"Sims",10000,1952
"94",2,9,2.33478194677316,2.40309823062542,40,TRUE,TRUE,"Sims",10000,1952
"95",2,9,3.95851577389789,4.00163939115831,40,TRUE,TRUE,"Sims",10000,1952
"96",2,10,2.88598264060928,3.03811735350364,40,TRUE,TRUE,"Sims",10000,1952
"97",2,10,4.55277270412188,4.6032637401898,40,TRUE,TRUE,"Sims",10000,1952
"98",2,11,2.8828579885766,2.88310117592715,40,TRUE,TRUE,"Sims",10000,1952
"99",2,12,3.21584992884241,3.28990781902743,40,TRUE,TRUE,"Sims",10000,1952
"100",2,12,1.90541748044837,2.006173968346,40,TRUE,TRUE,"Sims",10000,1952
"101",2,15,2.4252613367779,2.48075296529596,40,TRUE,TRUE,"Sims",10000,1952
"102",2,16,4.52854405465575,4.53158592312676,40,TRUE,TRUE,"Sims",10000,1952
"103",2,16,3.45045949488558,3.48460600641768,40,TRUE,TRUE,"Sims",10000,1952
"104",2,16,3.74767611542112,3.86216871862602,40,TRUE,TRUE,"Sims",10000,1952
"105",2,17,4.8130306740836,4.869258318409,40,TRUE,TRUE,"Sims",10000,1952
"106",2,18,1.70782942782757,1.7772478152003,40,TRUE,TRUE,"Sims",10000,1952
"107",2,18,4.1127903150828,4.15617242670444,40,TRUE,TRUE,"Sims",10000,1952
"108",2,19,3.70578260067614,3.72720254595719,40,TRUE,TRUE,"Sims",10000,1952
"109",2,20,3.72837071816259,3.786894889307,40,TRUE,TRUE,"Sims",10000,1952
"110",2,20,3.34195160913146,3.36693516121879,40,TRUE,TRUE,"Sims",10000,1952
"111",2,21,3.53033999143717,3.59209202913119,40,TRUE,TRUE,"Sims",10000,1952
"112",2,21,3.08857784841641,3.09555089288399,40,TRUE,TRUE,"Sims",10000,1952
"113",2,23,3.35977527910303,3.45429221576207,40,TRUE,TRUE,"Sims",10000,1952
"114",2,24,4.60822113256363,4.70168686138107,40,TRUE,TRUE,"Sims",10000,1952
"115",2,24,1.70100662771247,1.82783203194341,40,TRUE,TRUE,"Sims",10000,1952
"116",2,24,3.03211261125569,3.18737956093176,40,TRUE,TRUE,"Sims",10000,1952
"117",2,24,3.30149715052103,3.30155943684202,40,TRUE,TRUE,"Sims",10000,1952
"118",2,25,4.1338853311055,4.13389155312046,40,TRUE,TRUE,"Sims",10000,1952
