"","OpCode","ImagePtPair","FilenameLeft","FrameLeft","FilenameRight","FrameRight","Time","Period","PeriodTime","X","Y","Z","sX","sY","sZ","RMS","Range","Direction","Family","Genus","Species","Code","Number","Stage","Activity","Comment","Attribute9","Attribute10","site_habitat","site","habitat","Family_Genus_Species","height","height_alt","plane_dist","original_dist","gamma_naive","gamma","height_top_point","top_plane_dist","theta","theta_angle_L","theta_angle_R","theta_angle_LR_min","theta_cut_off","height_buffer","left_trunc","left_trunc_gamma_min","left_trunc_height_max"
"21","JYA04___Mar16",8,"JYA04_JYA04_L7_GOPR9897.MP4",19834,"JYA04_JYA04_R8_GOPR9895.MP4",19443,11.02991,NA,-1,-642.06724,58.78039,-2346.39723,3.59328,1.22548,12.96311,1.92158,2433.36915,15.29939,"Labridae","Choerodon","cyanodus",37384072,1,"AD","Passing","",NA,NA,"JYA","JY","A","Labridae:Choerodon:cyanodus",0.258640186196399,0.258640186196399,2.45316875957724,2.43336915322798,16.1188135326702,14.0652560275587,2.82425379294954,9.875759351935,58.8618388789017,14.2730301881092,44.5888086907926,14.2730301881092,3.4326828729143,0.780064506085512,1.71656342611734,1.76258526957637,4.44027344910638
"22","JYA04___Mar16",11,"JYA04_JYA04_L7_GOPR9897.MP4",22531,"JYA04_JYA04_R8_GOPR9895.MP4",22140,12.52974,NA,-1,211.42176,162.7835,-1979.99464,1.26913,1.2876,9.00988,4.75578,1997.89299,6.93147,"Labridae","Choerodon","cyanodus",37384072,1,"AD","Passing","",NA,NA,"JYA","JY","A","Labridae:Choerodon:cyanodus",0.286093499202374,0.286093499202374,2.0362159420397,1.99789299085373,16.1188135326702,14.0652560275587,2.82425379294954,9.875759351935,58.8618388789017,35.8316960959947,23.0301427829071,23.0301427829071,3.4326828729143,0.780064506085512,1.71656342611734,1.76258526957637,4.44027344910638
"23","JYA04___Mar16",52,"JYA04_JYA04_L7_GOPR9897.MP4",32420,"JYA04_JYA04_R8_GOPR9895.MP4",32029,18.02912,NA,-1,-483.78728,28.84435,-1618.99516,1.9169,0.75799,6.24333,1.45441,1689.97854,16.63794,"Labridae","Choerodon","cyanodus",37384072,1,"AD","Passing","",NA,NA,"JYA","JY","A","Labridae:Choerodon:cyanodus",0.279259355476135,0.279259355476135,1.70901512992109,1.68997853741405,16.1188135326702,14.0652560275587,2.82425379294954,9.875759351935,58.8618388789017,13.4463748790454,45.4154639998564,13.4463748790454,3.4326828729143,0.780064506085512,1.71656342611734,1.76258526957637,4.44027344910638
"24","JYA04___Mar16",125,"JYA04_JYA04_L7_GP019897.MP4",2038,"JYA04_JYA04_R8_GP019895.MP4",1647,21.02879,NA,-1,-81.21617,190.95569,-3036.3426,1.41059,2.28302,21.04774,3.90275,3043.42513,2.71474,"Labridae","Choerodon","cyanodus",37384072,1,"AD","Passing","",NA,NA,"JYA","JY","A","Labridae:Choerodon:cyanodus",0.249200236015441,0.249200236015441,3.07514304573908,3.04342513073471,16.1188135326702,14.0652560275587,2.82425379294954,9.875759351935,58.8618388789017,27.8417286332668,31.020110245635,27.8417286332668,3.4326828729143,0.780064506085512,1.71656342611734,1.76258526957637,4.44027344910638
"25","JYA04___Mar16",143,"JYA04_JYA04_L7_GP019897.MP4",5634,"JYA04_JYA04_R8_GP019895.MP4",5243,23.02856,NA,-1,-560.01175,421.95136,-3464.2461,4.63468,4.32357,27.60238,0.20207,3534.49532,10.6811,"Labridae","Choerodon","cyanodus",37384072,1,"AD","Passing","",NA,NA,"JYA","JY","A","Labridae:Choerodon:cyanodus",0.497696008319896,0.497696008319896,3.558485884054,3.53449531782249,16.1188135326702,14.0652560275587,2.82425379294954,9.875759351935,58.8618388789017,20.6886733614097,38.173165517492,20.6886733614097,3.4326828729143,0.780064506085512,1.71656342611734,1.76258526957637,4.44027344910638
"26","JYA04___Mar16",152,"JYA04_JYA04_L7_GP019897.MP4",9230,"JYA04_JYA04_R8_GP019895.MP4",8839,25.02834,NA,-1,-957.81085,55.22126,-2119.04645,4.86233,1.09546,10.90349,3.66397,2326.11454,24.31608,"Labridae","Choerodon","cyanodus",37384072,1,"AD","Passing","",NA,NA,"JYA","JY","A","Labridae:Choerodon:cyanodus",0.318212483937227,0.318212483937227,2.33895373324438,2.32611454343747,16.1188135326702,14.0652560275587,2.82425379294954,9.875759351935,58.8618388789017,5.48238132970473,53.379457549197,5.48238132970473,3.4326828729143,0.780064506085512,1.71656342611734,1.76258526957637,4.44027344910638
"27","JYA04___Mar16",153,"JYA04_JYA04_L7_GP019897.MP4",9230,"JYA04_JYA04_R8_GP019895.MP4",8839,25.02834,NA,-1,624.71979,387.91397,-3837.50378,5.67066,4.57334,33.68282,3.83548,3907.32483,10.19727,"Labridae","Choerodon","cyanodus",37384072,1,"AD","Passing","",NA,NA,"JYA","JY","A","Labridae:Choerodon:cyanodus",0.274042502535756,0.274042502535756,3.94792702711905,3.90732482981043,16.1188135326702,14.0652560275587,2.82425379294954,9.875759351935,58.8618388789017,38.4709826566622,20.3908562222395,20.3908562222395,3.4326828729143,0.780064506085512,1.71656342611734,1.76258526957637,4.44027344910638
"28","JYA04___Mar16",154,"JYA04_JYA04_L7_GP019897.MP4",10129,"JYA04_JYA04_R8_GP019895.MP4",9738,25.52828,NA,-1,-1078.08882,45.5503,-2575.26151,6.61491,1.34644,15.97751,5.78115,2792.18949,22.71503,"Labridae","Choerodon","cyanodus",37384072,1,"AD","Passing","",NA,NA,"JYA","JY","A","Labridae:Choerodon:cyanodus",0.279937501500746,0.279937501500746,2.80576948158256,2.79218949545452,16.1188135326702,14.0652560275587,2.82425379294954,9.875759351935,58.8618388789017,6.76928809201345,52.0925507868882,6.76928809201345,3.4326828729143,0.780064506085512,1.71656342611734,1.76258526957637,4.44027344910638
"29","JYA04___Mar16",159,"JYA04_JYA04_L7_GP019897.MP4",12826,"JYA04_JYA04_R8_GP019895.MP4",12435,27.02811,NA,-1,176.77817,237.77035,-2502.40982,1.46595,2.02857,14.31456,0.89149,2519.88892,5.72197,"Labridae","Choerodon","cyanodus",37384072,1,"AD","Passing","",NA,NA,"JYA","JY","A","Labridae:Choerodon:cyanodus",0.313805128496717,0.313805128496717,2.55740214950431,2.51988891976613,16.1188135326702,14.0652560275587,2.82425379294954,9.875759351935,58.8618388789017,33.6807947093506,25.1810441695512,25.1810441695512,3.4326828729143,0.780064506085512,1.71656342611734,1.76258526957637,4.44027344910638
"30","JYA04___Mar16",163,"JYA04_JYA04_L7_GP019897.MP4",15523,"JYA04_JYA04_R8_GP019895.MP4",15132,28.52794,NA,-1,915.02981,345.46397,-2538.28951,5.44672,2.66451,15.10148,4.59624,2720.20929,20.63157,"Labridae","Choerodon","cyanodus",37384072,1,"AD","Passing","",NA,NA,"JYA","JY","A","Labridae:Choerodon:cyanodus",0.32075612222063,0.32075612222063,2.7678473284108,2.72020928318628,16.1188135326702,14.0652560275587,2.82425379294954,9.875759351935,58.8618388789017,49.1608169938758,9.70102188502596,9.70102188502596,3.4326828729143,0.780064506085512,1.71656342611734,1.76258526957637,4.44027344910638
